scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-07-29,2912.TW,統一超,241.0,黃金交叉,59,C觀察,1.7,>MA5,糾結,47.6,46.5,72.8,64.9,-0.7201,-,-,tracking,1.0,,,,-2.49,-7.05,-2.49,-7.05,0.0
2026-07-29,3231.TW,緯創,169.5,週即將黃金交叉,71,B可追蹤,2.12,MA5~10,多頭,73.1,70.4,43.3,43.4,2.9951,-,-,tracking,1.0,,,,0.59,-7.08,0.59,-7.08,0.0
2026-07-29,4904.TW,遠傳,106.5,週黃金交叉,68,B可追蹤,1.43,>MA5,多頭,80.2,76.9,58.8,56.7,0.8373,-,-,tracking,1.0,,,,0.0,-2.35,0.0,-2.35,0.0
2026-07-29,4976.TW,佳凌,37.7,漲幅達標、MACD翻正、趨勢突破,100,A強勢追蹤,4.62,>MA5,糾結,56.5,32.2,39.9,48.6,0.031,趨勢突破,3.94,tracking,1.0,,,,8.75,-9.95,8.75,-9.95,0.0
2026-07-29,5531.TW,鄉林,7.9,週即將黃金交叉、MACD翻正、趨勢突破,100,A強勢追蹤,0.47,>MA5,空頭,49.8,39.9,24.1,26.5,0.0029,趨勢突破,2.97,tracking,1.0,,,,0.76,-1.65,0.76,-1.65,0.0
2026-07-29,8114.TW,振樺電,209.5,週即將黃金交叉,55,C觀察,2.17,MA5~10,多頭,54.1,57.0,34.0,34.3,2.3451,-,-,tracking,1.0,,,,-2.39,-9.79,-2.39,-9.79,0.0
2026-07-29,8271.TW,宇瞻,222.5,漲幅達標、週黃金交叉、趨勢突破,100,A強勢追蹤,7.11,>MA5,多頭,81.0,74.7,40.2,35.9,4.8673,趨勢突破,2.69,tracking,1.0,,,,2.92,-9.89,2.92,-9.89,0.0
2026-07-29,9917.TW,中保科,111.0,趨勢突破,89,A強勢追蹤,1.78,>MA5,多頭,78.3,71.1,28.7,31.8,0.6823,趨勢突破,2.61,tracking,1.0,,,,0.0,-0.9,0.0,-0.9,0.0
2026-07-29,9939.TW,宏全,130.0,週即將黃金交叉,66,B可追蹤,0.13,>MA5,多頭,59.9,66.5,63.5,64.6,0.3505,-,-,tracking,1.0,,,,0.0,-2.31,0.0,-2.31,0.0
2026-07-29,9940.TW,信義,20.8,黃金交叉,71,B可追蹤,2.11,>MA5,多頭,76.8,70.0,70.1,57.9,0.057,-,-,tracking,1.0,,,,0.96,-1.2,0.96,-1.2,0.0
2026-07-29,3260.TWO,威剛,394.0,週即將黃金交叉、MACD翻正,71,B可追蹤,0.61,>MA5,糾結,65.5,55.9,31.1,31.1,0.6067,-,-,tracking,1.0,,,,3.68,-4.06,3.68,-4.06,0.0
2026-07-29,5490.TWO,同亨,33.15,週黃金交叉,88,A強勢追蹤,2.7,>MA5,多頭,67.1,64.3,61.2,56.6,0.2506,-,-,tracking,1.0,,,,-0.45,-9.5,-0.45,-9.5,0.0
2026-07-29,5904.TWO,寶雅,720.0,週即將黃金交叉、MACD翻正,78,A強勢追蹤,4.19,>MA5,糾結,66.8,50.8,65.8,68.5,1.7477,-,-,tracking,,,,,,,,,
2026-07-29,6603.TWO,富強鑫,26.2,MACD翻正、趨勢突破,100,A強勢追蹤,2.52,>MA5,糾結,75.5,59.0,62.0,53.4,0.0633,趨勢突破,2.87,tracking,1.0,,,,1.91,-6.11,1.91,-6.11,0.0
2026-07-29,8050.TWO,廣積,60.8,黃金交叉、週黃金交叉,93,A強勢追蹤,3.12,>MA5,多頭,59.6,57.1,61.5,60.4,-0.0544,-,-,tracking,1.0,,,,-0.99,-9.87,-0.99,-9.87,0.0
2026-07-30,1104.TW,環泥,26.85,趨勢突破,86,A強勢追蹤,0.34,>MA5,糾結,44.1,34.3,17.6,24.4,0.044,趨勢突破,2.0,tracking,,,,,,,,,
2026-07-30,1218.TW,泰山,16.0,跳空、黃金交叉、MACD翻正、趨勢突破,66,B可追蹤,-2.15,>MA5,空頭,23.0,21.8,9.5,12.8,0.007,趨勢突破,1.5,tracking,,,,,,,,,
2026-07-30,1476.TW,儒鴻,338.5,週黃金交叉,66,B可追蹤,1.79,>MA5,糾結,54.7,53.5,45.5,43.5,0.5498,-,-,tracking,,,,,,,,,
2026-07-30,1526.TW,日馳,18.9,漲幅達標、黃金交叉,84,A強勢追蹤,9.32,>MA5,多頭,71.8,66.7,63.3,44.6,0.3042,-,-,tracking,,,,,,,,,
