scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,source_file,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d,return_1d%,return_20d%,max_gain_20d%,max_drawdown_20d%,訊號方向,成交量(張),is_profitable_5d,is_clean_win_5d
2026-07-29,2002.TW,中鋼,18.95,週黃金交叉,63.0,C觀察,0.43,MA5~10,多頭,59.8,63.0,32.2,30.1,0.0504,-,-,done,signal_tracking_20260806.csv,13.0,-0.53,-0.26,4.22,1.58,-1.58,5.01,-1.58,0.0,0.0,,5.01,-1.58,,,0.0,0.0
2026-07-29,2025.TW,千興,12.45,趨勢突破,87.0,A強勢追蹤,0.54,>MA5,糾結,65.3,49.0,25.0,34.3,0.0617,趨勢突破,2.86,done,signal_tracking_20260806.csv,13.0,-4.42,-4.42,1.61,2.81,-5.62,4.02,-5.62,0.0,-3.61,,4.02,-5.62,,,0.0,0.0
2026-07-29,2027.TW,大成鋼,43.25,週黃金交叉,68.0,B可追蹤,0.64,MA5~10,多頭,63.7,69.2,59.7,56.7,0.2992,-,-,done,signal_tracking_20260806.csv,13.0,2.77,2.54,8.32,3.58,-2.31,10.52,-2.31,0.0,1.04,,19.08,-2.31,,,1.0,0.0
2026-07-29,2106.TW,建大,18.4,黃金交叉,73.0,B可追蹤,2.31,>MA5,糾結,54.7,49.6,64.6,53.9,0.0445,-,-,done,signal_tracking_20260806.csv,13.0,-1.09,-1.63,-1.09,3.8,-3.26,3.8,-3.26,0.0,-0.54,,3.8,-6.25,,,0.0,0.0
2026-07-29,2332.TW,友訊,24.0,週即將黃金交叉,78.0,A強勢追蹤,7.0,>MA5,多頭,66.4,57.6,73.2,74.8,-0.0541,-,-,done,signal_tracking_20260806.csv,13.0,-7.5,-4.58,-7.08,3.96,-13.96,3.96,-13.96,0.0,-10.0,,3.96,-13.96,,,0.0,0.0
2026-07-29,2357.TW,華碩,761.0,即將黃金交叉,65.0,B可追蹤,3.12,>MA5,多頭,74.4,75.6,36.5,41.9,7.5305,-,-,done,signal_tracking_20260806.csv,13.0,4.99,10.12,11.96,12.88,-5.12,13.01,-5.12,0.0,-3.15,,34.69,-5.12,,,1.0,0.0
2026-07-29,2412.TW,中華電,140.5,週黃金交叉,68.0,B可追蹤,0.19,>MA5,多頭,82.4,77.8,47.7,47.7,0.5796,-,-,done,signal_tracking_20260806.csv,13.0,-1.07,-2.49,-3.2,0.36,-3.2,0.36,-3.56,0.0,0.0,,0.36,-3.91,,,0.0,0.0
2026-07-29,2530.TW,華建,20.65,趨勢突破,100.0,A強勢追蹤,1.9,>MA5,多頭,70.6,64.6,64.9,50.1,0.1208,趨勢突破,2.88,done,signal_tracking_20260806.csv,13.0,-4.84,-5.08,-6.05,4.12,-8.23,4.12,-8.23,0.0,2.18,,4.12,-8.23,,,0.0,0.0
2026-07-29,2540.TW,愛山林,57.8,週黃金交叉,92.0,A強勢追蹤,2.99,>MA5,多頭,69.3,58.9,55.3,45.7,0.3661,-,-,done,signal_tracking_20260806.csv,13.0,3.81,-0.0,-23.01,6.92,-4.84,6.92,-26.56,0.0,1.9,,6.92,-26.56,,,0.0,0.0
2026-07-29,2615.TW,萬海,85.0,即將黃金交叉,58.0,C觀察,1.65,>MA5,多頭,63.1,64.7,67.0,61.8,0.4421,-,-,done,signal_tracking_20260806.csv,13.0,1.29,0.47,2.47,2.35,-1.29,4.47,-1.41,0.0,-0.71,,17.18,-1.41,,,1.0,0.0
2026-07-29,2849.TW,安泰銀,15.35,黃金交叉、週黃金交叉、MACD翻正,100.0,A強勢追蹤,2.42,>MA5,糾結,68.3,60.3,87.6,86.6,0.0163,-,-,done,signal_tracking_20260806.csv,13.0,-0.33,-4.56,-5.86,0.65,-4.56,0.65,-6.84,0.0,-0.33,,0.65,-8.47,,,0.0,0.0
2026-07-29,2867.TW,三商壽,9.37,即將黃金交叉,60.0,C觀察,2.82,>MA5,多頭,64.0,66.9,84.2,78.0,0.0121,-,-,done,signal_tracking_20260806.csv,13.0,4.8,4.27,0.64,7.26,-0.75,7.26,-0.75,1.0,2.24,,7.26,-0.75,,,1.0,1.0
2026-07-29,2880.TW,華南金,41.8,即將黃金交叉,60.0,C觀察,2.98,>MA5,多頭,83.7,85.8,89.9,80.3,0.069,-,-,done,signal_tracking_20260806.csv,13.0,1.97,3.75,2.33,6.94,-2.53,6.94,-2.53,1.0,1.02,,6.94,-9.09,,,1.0,1.0
2026-07-29,2884.TW,玉山金,36.5,黃金交叉,82.0,A強勢追蹤,2.38,>MA5,多頭,69.6,68.9,77.5,68.6,0.0868,-,-,done,signal_tracking_20260806.csv,13.0,5.34,4.38,0.68,7.12,-0.41,7.12,-0.55,1.0,3.29,,7.12,-0.55,,,1.0,1.0
2026-07-29,2903.TW,遠百,22.35,趨勢突破,89.0,A強勢追蹤,0.73,>MA5,糾結,63.7,61.5,29.9,35.7,0.0306,趨勢突破,1.82,done,signal_tracking_20260806.csv,13.0,0.0,-1.57,-1.57,1.57,-2.01,1.57,-2.24,0.0,0.89,,1.57,-3.58,,,0.0,0.0
2026-07-29,2912.TW,統一超,241.0,黃金交叉,59.0,C觀察,1.7,>MA5,糾結,47.6,46.5,72.8,64.9,-0.7201,-,-,done,signal_tracking_20260806.csv,13.0,-8.51,-8.09,-8.92,-2.49,-9.54,-2.49,-9.96,0.0,-4.56,,-2.49,-12.03,,,0.0,0.0
2026-07-29,3231.TW,緯創,169.5,週即將黃金交叉,71.0,B可追蹤,2.12,MA5~10,多頭,73.1,70.4,43.3,43.4,2.9951,-,-,done,signal_tracking_20260806.csv,13.0,9.73,13.86,14.16,19.47,-7.08,19.47,-7.08,0.0,-5.6,,21.53,-7.08,,,1.0,0.0
